rank,bgg_url,game_id,name,min_players,max_players,gameplay_time,min_time,max_time,release_year,num_votes,image_url,age,mechanic,sales_last_month_thousands,category,designer,weight
3653,https://boardgamegeek.com/boardgame/158742/backyard-builders-treehouse,158742,Backyard Builders Treehouse,2,5,10,5,10,2014,1016,https://cf.geekdo-images.com/images/pic3058640.jpg,6,"Card Drafting, Set Collection",5.91429,"Card Game, Trains, Transportation",David Short,1.0685
3703,https://boardgamegeek.com/boardgame/29411/castle-knights,29411,Castle Knights,2,4,10,10,10,2007,230,https://cf.geekdo-images.com/images/pic371164.jpg,5,Co-operative Play,7.890264,"Action / Dexterity, Children's Game, Medieval",Christian Tiggemann,1.0526
3757,https://boardgamegeek.com/boardgame/2379/guesstures,2379,Guesstures,4,99,10,10,10,1990,1091,https://cf.geekdo-images.com/images/pic485239.jpg,8,"Acting, Partnerships, Role Playing, Roll / Spin and Move",5.94639,"Card Game, Party Game, Word Game","Jeffrey Breslow, Howard J. Morrison",1.1771
3822,https://boardgamegeek.com/boardgame/16362/hula-hippos,16362,Hula Hippos,2,4,10,10,10,2005,437,https://cf.geekdo-images.com/images/pic375243.jpg,5,none,6.13146,"Action / Dexterity, Animals, Children's Game",Heinz Meister,1.0185
3856,https://boardgamegeek.com/boardgame/154892/loonacy,154892,Loonacy,2,5,10,10,10,2014,302,https://cf.geekdo-images.com/images/pic2032579.jpg,8,Pattern Recognition,6.38934,"Card Game, Real-time",Andrew Looney,1.1
3874,https://boardgamegeek.com/boardgame/42448/we-didnt-playtest-either,42448,We Didn't Playtest This Either,2,10,10,10,10,2009,603,https://cf.geekdo-images.com/images/pic477193.jpg,12,"Hand Management, Rock-Paper-Scissors, Voting",6.03634,"Card Game, Humor",Chris Cieslik,1.2308
3879,https://boardgamegeek.com/boardgame/142503/one-night-werewolf,142503,One Night Werewolf,3,7,10,10,10,2012,345,https://cf.geekdo-images.com/images/pic1772885.jpg,10,"Partnerships, Variable Player Powers, Voting",6.25341,"Bluffing, Card Game, Deduction, Negotiation, Party Game",Akihisa Okui,1.2143
3894,https://boardgamegeek.com/boardgame/106753/ooga-booga,106753,Ooga Booga,3,6,10,10,10,2011,495,https://cf.geekdo-images.com/images/pic1686960.jpg,7,"Acting, Memory",6.06261,"Card Game, Humor, Memory, Party Game, Prehistoric","David Boniffacy, Daniel Quodbach",1.0294
3902,https://boardgamegeek.com/boardgame/2860/piecepack,2860,Piecepack,0,0,10,10,10,2001,140,https://cf.geekdo-images.com/images/pic119215.jpg,5,none,7.83838,Game System,James Kyle,2.4
3963,https://boardgamegeek.com/boardgame/9386/icetowers,9386,IceTowers,2,5,10,10,10,1999,247,https://cf.geekdo-images.com/images/pic193189.jpg,10,"Set Collection, Tile Placement",7.068721,"Abstract Strategy, Real-time",Andrew Looney,1.8947
3969,https://boardgamegeek.com/boardgame/312/landlord,312,Landlord!,2,6,10,10,10,1992,889,https://cf.geekdo-images.com/images/pic1514256.jpg,10,"Hand Management, Take That",6.477361,"Card Game, Humor",Friedemann Friese,1.5104
3992,https://boardgamegeek.com/boardgame/24410/treasures-traps,24410,Treasures & Traps,2,6,10,10,10,2006,444,https://cf.geekdo-images.com/images/pic239163.jpg,10,Set Collection,6.805634,"Card Game, Fantasy",C. Aaron Kreader,1.4167
4035,https://boardgamegeek.com/boardgame/181370/mint-tin-mini-apocalypse,181370,Mint Tin Mini Apocalypse,2,2,10,5,10,2015,224,https://cf.geekdo-images.com/images/pic2627263.jpg,10,"Area Control / Area Influence, Dice Rolling",8.780844,"Real-time, Science Fiction",David Rene Miller,1.0667
4040,https://boardgamegeek.com/boardgame/158991/hannin-wa-odoru,158991,Hannin Wa Odoru,3,8,10,10,10,2013,248,https://cf.geekdo-images.com/images/pic2019550.jpg,8,"Hand Management, Take That",7.750356,"Bluffing, Deduction, Party Game",Pesu Nabeno,1.1667
4042,https://boardgamegeek.com/boardgame/147883/lost-legacy-hyakunen-senso-ryu-no-miko,147883,Lost Legacy: Hyakunen Senso to Ryu no Miko,2,4,10,10,10,2013,108,https://cf.geekdo-images.com/images/pic2081101.jpg,10,"Hand Management, Memory, Player Elimination",8.019308,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi, Masato Uesugi",1.1429
4055,https://boardgamegeek.com/boardgame/146035/eggs-ostrich,146035,Eggs of Ostrich,3,3,10,10,10,2012,170,https://cf.geekdo-images.com/images/pic1735663.jpg,12,"Hand Management, Simultaneous Action Selection",6.65849,Card Game,Shimpei Sato,1.1
4057,https://boardgamegeek.com/boardgame/158100/speed-cups,158100,Speed Cups_,2,2,10,10,10,2014,148,https://cf.geekdo-images.com/images/pic2071795.jpg,6,Pattern Building,7.575656,"Action / Dexterity, Children's Game, Real-time",Haim Shafir,1
4061,https://boardgamegeek.com/boardgame/2944/halli-galli,2944,Halli Galli,2,6,10,10,10,1990,1722,https://cf.geekdo-images.com/images/pic458934.jpg,6,"Pattern Recognition, Player Elimination",5.80263,"Action / Dexterity, Card Game, Children's Game, Party Game, Real-time",Haim Shafir,1.0136
4116,https://boardgamegeek.com/boardgame/118410/drecksau,118410,Drecksau,2,4,10,10,10,2012,621,https://cf.geekdo-images.com/images/pic1210900.jpg,7,none,6.577065,"Animals, Card Game",Frank Bebenroth,1.0638
4127,https://boardgamegeek.com/boardgame/99219/swish,99219,Swish,2,6,10,10,10,2011,371,https://cf.geekdo-images.com/images/pic2047457.jpg,8,"Pattern Building, Pattern Recognition",6.76423,"Abstract Strategy, Puzzle","Zvi Shalem, Gali Shimoni",1.3
4135,https://boardgamegeek.com/boardgame/145722/eat-me-if-you-can,145722,Eat Me If You Can!,3,6,10,10,10,2012,375,https://cf.geekdo-images.com/images/pic2299550.jpg,6,Press Your Luck,6.7452,"Bluffing, Deduction",Jun'ichi Sato,1.0385
4147,https://boardgamegeek.com/boardgame/129946/attraction,129946,AttrAction,2,5,10,10,10,2012,240,https://cf.geekdo-images.com/images/pic1438751.jpg,14,none,7.007913,Action / Dexterity,Jeff Glickman,1.1667
4165,https://boardgamegeek.com/boardgame/195296/scuttle,195296,Scuttle!,1,5,10,5,10,2016,179,https://cf.geekdo-images.com/images/pic2943255.png,6,"Hand Management, Partnerships, Take That",7.604685,"Card Game, Children's Game, Pirates",Peter C. Hayward,1
4210,https://boardgamegeek.com/boardgame/4980/cityscape,4980,Cityscape,2,4,10,10,10,2002,288,https://cf.geekdo-images.com/images/pic152457.jpg,8,none,6.23385,"Abstract Strategy, City Building",Sjaak Griffioen,1.6957
4299,https://boardgamegeek.com/boardgame/6551/crimson-skies,6551,Crimson Skies,2,2,10,10,10,2003,420,https://cf.geekdo-images.com/images/pic818900.jpg,10,"Action Point Allowance System, Dice Rolling, Role Playing, Variable Player Powers",6.07626,"Aviation / Flight, Fighting, Miniatures, Spies/Secret Agents","L. Ross Babcock, III, Jon Leitheusser, Jim Long, Matt Robinson, Jordan Weisman",2.1667
4302,https://boardgamegeek.com/boardgame/29952/quinamid,29952,Quinamid,2,2,10,10,10,2007,127,https://cf.geekdo-images.com/images/pic267654.jpg,8,"Memory, Pattern Building",6.89677,"Abstract Strategy, Memory",Antony Brown,2.2
4323,https://boardgamegeek.com/boardgame/39210/tier-auf-tier-das-duell,39210,Tier auf Tier: Das Duell,2,2,10,10,10,2008,204,https://cf.geekdo-images.com/images/pic679598.jpg,5,none,6.4201,"Action / Dexterity, Animals, Children's Game","Klaus Miltenberger, Udo Peise",1
4340,https://boardgamegeek.com/boardgame/160436/lost-legacy-binbo-tantei-inbo-no-shiro,160436,Lost Legacy: Binbo Tantei to Inbo no Shiro,2,8,10,10,10,2014,91,https://cf.geekdo-images.com/images/pic2051923.jpg,10,"Hand Management, Memory, Player Elimination",8.890416,"Bluffing, Card Game, Deduction","Hisashi Hayashi, Seiji Kanai, Hayato Kisaragi",1.375
4393,https://boardgamegeek.com/boardgame/25537/trotofant,25537,Tr_tofant,2,4,10,10,10,2005,118,https://cf.geekdo-images.com/images/pic478722.jpg,5,none,7.608183,"Action / Dexterity, Animals, Children's Game",Roberto Fraga,1
4396,https://boardgamegeek.com/boardgame/9149/zitternix,9149,Zitternix,2,4,10,10,10,2000,320,https://cf.geekdo-images.com/images/pic441568.jpg,6,Dice Rolling,6.740547,"Action / Dexterity, Children's Game",Heinz Meister,1.0286
4423,https://boardgamegeek.com/boardgame/27938/tortuga,27938,Tortuga,2,2,10,10,10,2007,265,https://cf.geekdo-images.com/images/pic581831.jpg,8,none,6.861096,"Abstract Strategy, Animals",Vincent Everaert,1.7727
4501,https://boardgamegeek.com/boardgame/172866/dragon-punch,172866,Dragon Punch,2,2,10,5,10,2014,203,https://cf.geekdo-images.com/images/pic2838208.jpg,12,"Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection",6.39286,"Fighting, Video Game Theme",Koen Hendrix,1.4286
4556,https://boardgamegeek.com/boardgame/103814/streams,103814,Streams,1,99,10,10,10,2011,191,https://cf.geekdo-images.com/images/pic1349215.jpg,8,"Paper-and-Pencil, Pattern Building",7.015404,"Math, Number, Party Game, Puzzle",Yoshihisa Itsubaki,1.2
4598,https://boardgamegeek.com/boardgame/3706/batik,3706,Batik,2,2,10,10,10,1997,478,https://cf.geekdo-images.com/images/pic498524.jpg,6,Tile Placement,5.95475,"Abstract Strategy, Action / Dexterity",Kris Burm,1.1224
4680,https://boardgamegeek.com/boardgame/148767/brandon-brave,148767,Brandon the Brave,1,4,10,10,10,2013,161,https://cf.geekdo-images.com/images/pic2521963.jpg,5,Tile Placement,7.154444,Children's Game,Johannes Zirm,1.0909
4681,https://boardgamegeek.com/boardgame/13875/quoridor-kid,13875,Quoridor Kid,2,4,10,10,10,2004,207,https://cf.geekdo-images.com/images/pic82761.jpg,6,Grid Movement,6.32005,"Abstract Strategy, Children's Game, Maze",Mirko Marchesi,1.4444
4755,https://boardgamegeek.com/boardgame/155322/hearts-attraction,155322,Hearts of AttrAction,2,5,10,10,10,2014,153,https://cf.geekdo-images.com/images/pic1937564.jpg,14,none,6.49492,Action / Dexterity,Jeff Glickman,1
4772,https://boardgamegeek.com/boardgame/114991/metagame,114991,The Metagame,2,33,10,10,10,2011,172,https://cf.geekdo-images.com/images/pic2449682.png,17,none,8.350992,"Card Game, Party Game","Colleen Macklin, John Sharp, Eric Zimmerman",1.75
4821,https://boardgamegeek.com/boardgame/109801/sticky-stickz,109801,Sticky Stickz,2,5,10,10,10,2011,192,https://cf.geekdo-images.com/images/pic1441090.jpg,8,"Dice Rolling, Pattern Recognition",6.37307,"Action / Dexterity, Children's Game, Party Game",Dave Choi,1
4823,https://boardgamegeek.com/boardgame/30179/inside,30179,Inside,2,2,10,10,10,2007,163,https://cf.geekdo-images.com/images/pic412410.jpg,8,"Area Control / Area Influence, Tile Placement",7.106132,Abstract Strategy,Henrik Morast,1.9231
